run_id	source_file	phase	split	config_name	group	seed	commit	source_commit	selection_stage	opened_test	metrics_file	prediction_file	status	description
search_010_0337323	results_biomed.tsv	single_run_search	val	single_run_0337323	random		0337323	0337323	search_validation	false	results_biomed.tsv		discard	random phase2 #001: ASPECT_RATIO=80, WARMUP_RATIO=0.12, WARMDOWN_RATIO=0.50, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.002, MATRIX_LR=0.055, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=5
search_011_2529860	results_biomed.tsv	single_run_search	val	single_run_2529860	random		2529860	2529860	search_validation	false	results_biomed.tsv		discard	random phase2 #002: ASPECT_RATIO=80, WARMUP_RATIO=0.08, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.003, MATRIX_LR=0.055, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=5
search_012_7147e14	results_biomed.tsv	single_run_search	val	single_run_7147e14	random		7147e14	7147e14	search_validation	false	results_biomed.tsv		keep	random phase2 #003: ASPECT_RATIO=64, WARMUP_RATIO=0.12, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.0, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.002, MATRIX_LR=0.045, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=5
search_013_4578c0d	results_biomed.tsv	single_run_search	val	single_run_4578c0d	random		4578c0d	4578c0d	search_validation	false	results_biomed.tsv		discard	random phase2 #004: ASPECT_RATIO=64, WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.50, FINAL_LR_FRAC=0.0, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.004, MATRIX_LR=0.055, WEIGHT_DECAY=0.1, TOTAL_BATCH_SIZE=2**16, DEPTH=6
search_014_d81eedb	results_biomed.tsv	single_run_search	val	single_run_d81eedb	random		d81eedb	d81eedb	search_validation	false	results_biomed.tsv		discard	random phase2 #005: ASPECT_RATIO=64, WARMUP_RATIO=0.12, WARMDOWN_RATIO=0.60, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.002, MATRIX_LR=0.05, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=6
search_015_15f2a1d	results_biomed.tsv	single_run_search	val	single_run_15f2a1d	random		15f2a1d	15f2a1d	search_validation	false	results_biomed.tsv		discard	random phase2 #006: ASPECT_RATIO=64, WARMUP_RATIO=0.15, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.85, UNEMBEDDING_LR=0.003, MATRIX_LR=0.055, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=5
search_016_46c8f34	results_biomed.tsv	single_run_search	val	single_run_46c8f34	random		46c8f34	46c8f34	search_validation	false	results_biomed.tsv		discard	random phase2 #007: ASPECT_RATIO=80, WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.85, UNEMBEDDING_LR=0.003, MATRIX_LR=0.05, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=6
search_017_7118c52	results_biomed.tsv	single_run_search	val	single_run_7118c52	random		7118c52	7118c52	search_validation	false	results_biomed.tsv		discard	random phase2 #008: ASPECT_RATIO=80, WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.002, MATRIX_LR=0.045, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=5
search_018_4849400	results_biomed.tsv	single_run_search	val	single_run_4849400	random		4849400	4849400	search_validation	false	results_biomed.tsv		discard	random phase2 #009: ASPECT_RATIO=64, WARMUP_RATIO=0.15, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.002, MATRIX_LR=0.05, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=5
search_019_b2787bf	results_biomed.tsv	single_run_search	val	single_run_b2787bf	random		b2787bf	b2787bf	search_validation	false	results_biomed.tsv		discard	random phase2 #010: ASPECT_RATIO=64, WARMUP_RATIO=0.12, WARMDOWN_RATIO=0.50, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.055, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=6
search_020_ec62eb0	results_biomed.tsv	single_run_search	val	single_run_ec62eb0	random		ec62eb0	ec62eb0	search_validation	false	results_biomed.tsv		discard	random phase2 #011: ASPECT_RATIO=64, WARMUP_RATIO=0.08, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.002, MATRIX_LR=0.05, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=5
search_021_e455a7c	results_biomed.tsv	single_run_search	val	single_run_e455a7c	random		e455a7c	e455a7c	search_validation	false	results_biomed.tsv		discard	random phase2 #012: ASPECT_RATIO=80, WARMUP_RATIO=0.15, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.85, UNEMBEDDING_LR=0.004, MATRIX_LR=0.05, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=5
search_022_8dc23be	results_biomed.tsv	single_run_search	val	single_run_8dc23be	random		8dc23be	8dc23be	search_validation	false	results_biomed.tsv		discard	random phase2 #013: ASPECT_RATIO=64, WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.055, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=5
search_023_e26a736	results_biomed.tsv	single_run_search	val	single_run_e26a736	random		e26a736	e26a736	search_validation	false	results_biomed.tsv		discard	random phase2 #014: ASPECT_RATIO=80, WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.0, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.05, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=6
search_024_ab28db7	results_biomed.tsv	single_run_search	val	single_run_ab28db7	random		ab28db7	ab28db7	search_validation	false	results_biomed.tsv		discard	random phase2 #015: ASPECT_RATIO=64, WARMUP_RATIO=0.08, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.65, UNEMBEDDING_LR=0.002, MATRIX_LR=0.05, WEIGHT_DECAY=0.1, TOTAL_BATCH_SIZE=2**16, DEPTH=6
search_025_56e7cb2	results_biomed.tsv	single_run_search	val	single_run_56e7cb2	random		56e7cb2	56e7cb2	search_validation	false	results_biomed.tsv		discard	random phase2 #016: ASPECT_RATIO=64, WARMUP_RATIO=0.08, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.055, WEIGHT_DECAY=0.1, TOTAL_BATCH_SIZE=2**16, DEPTH=6
search_026_97d4f4e	results_biomed.tsv	single_run_search	val	single_run_97d4f4e	random		97d4f4e	97d4f4e	search_validation	false	results_biomed.tsv		discard	random phase2 #017: ASPECT_RATIO=80, WARMUP_RATIO=0.08, WARMDOWN_RATIO=0.50, FINAL_LR_FRAC=0.05, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.045, WEIGHT_DECAY=0.1, TOTAL_BATCH_SIZE=2**16, DEPTH=6
search_027_3a90685	results_biomed.tsv	single_run_search	val	single_run_3a90685	random		3a90685	3a90685	search_validation	false	results_biomed.tsv		discard	random phase2 #018: ASPECT_RATIO=64, WARMUP_RATIO=0.12, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.004, MATRIX_LR=0.055, WEIGHT_DECAY=0.15, TOTAL_BATCH_SIZE=2**16, DEPTH=6
search_028_e062324	results_biomed.tsv	single_run_search	val	single_run_e062324	random		e062324	e062324	search_validation	false	results_biomed.tsv		discard	random phase2 #019: ASPECT_RATIO=80, WARMUP_RATIO=0.15, WARMDOWN_RATIO=0.55, FINAL_LR_FRAC=0.02, EMBEDDING_LR=0.75, UNEMBEDDING_LR=0.003, MATRIX_LR=0.05, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=5
search_029_834b221	results_biomed.tsv	single_run_search	val	single_run_834b221	random		834b221	834b221	search_validation	false	results_biomed.tsv		discard	random phase2 #020: ASPECT_RATIO=64, WARMUP_RATIO=0.10, WARMDOWN_RATIO=0.45, FINAL_LR_FRAC=0.0, EMBEDDING_LR=0.85, UNEMBEDDING_LR=0.003, MATRIX_LR=0.05, WEIGHT_DECAY=0.05, TOTAL_BATCH_SIZE=2**16, DEPTH=6
search_030_b9103a1	results_biomed.tsv	single_run_search	val	single_run_b9103a1	agent		b9103a1	b9103a1	search_validation	false	results_biomed.tsv		discard	agent search #001: class-balanced answer-label auxiliary loss, QA_AUX_WEIGHT=0.15, QA_AUX_BATCH_SIZE=4
search_031_a20f5b7	results_biomed.tsv	single_run_search	val	single_run_a20f5b7	agent		a20f5b7	a20f5b7	search_validation	false	results_biomed.tsv		keep	agent search #002: delayed weak class-balanced answer-label auxiliary loss, QA_AUX_WEIGHT=0.05, QA_AUX_BATCH_SIZE=4, QA_AUX_START_PROGRESS=0.5
search_032_84d31ff	results_biomed.tsv	single_run_search	val	single_run_84d31ff	agent		84d31ff	84d31ff	search_validation	false	results_biomed.tsv		discard	agent search #003: delayed lower class-balanced answer-label auxiliary loss, QA_AUX_WEIGHT=0.03, QA_AUX_BATCH_SIZE=4, QA_AUX_START_PROGRESS=0.5
search_033_5add315	results_biomed.tsv	single_run_search	val	single_run_5add315	agent		5add315	5add315	search_validation	false	results_biomed.tsv		discard	agent search #004: later class-balanced answer-label auxiliary loss, QA_AUX_WEIGHT=0.05, QA_AUX_BATCH_SIZE=4, QA_AUX_START_PROGRESS=0.65
repeated_val_val_manual_baseline_f1664dd_seed42	results_repeated_controls.tsv	repeated_val	val	manual_baseline_f1664dd	manual	42	84d5239	f1664dd	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_manual_baseline_f1664dd_seed42.tsv	ok	Original locked PubMedQA harness baseline without auxiliary answer-label objective.
repeated_val_val_manual_baseline_f1664dd_seed43	results_repeated_controls.tsv	repeated_val	val	manual_baseline_f1664dd	manual	43	84d5239	f1664dd	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_manual_baseline_f1664dd_seed43.tsv	ok	Original locked PubMedQA harness baseline without auxiliary answer-label objective.
repeated_val_val_manual_baseline_f1664dd_seed44	results_repeated_controls.tsv	repeated_val	val	manual_baseline_f1664dd	manual	44	84d5239	f1664dd	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_manual_baseline_f1664dd_seed44.tsv	ok	Original locked PubMedQA harness baseline without auxiliary answer-label objective.
repeated_val_val_manual_baseline_f1664dd_seed45	results_repeated_controls.tsv	repeated_val	val	manual_baseline_f1664dd	manual	45	84d5239	f1664dd	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_manual_baseline_f1664dd_seed45.tsv	ok	Original locked PubMedQA harness baseline without auxiliary answer-label objective.
repeated_val_val_manual_baseline_f1664dd_seed46	results_repeated_controls.tsv	repeated_val	val	manual_baseline_f1664dd	manual	46	84d5239	f1664dd	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_manual_baseline_f1664dd_seed46.tsv	ok	Original locked PubMedQA harness baseline without auxiliary answer-label objective.
repeated_val_val_manual_warmup10_da0044c_seed42	results_repeated_controls.tsv	repeated_val	val	manual_warmup10_da0044c	manual	42	84d5239	da0044c	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_manual_warmup10_da0044c_seed42.tsv	ok	Manual best validation-BPB configuration: 4-layer baseline with 10 percent LR warmup.
repeated_val_val_manual_warmup10_da0044c_seed43	results_repeated_controls.tsv	repeated_val	val	manual_warmup10_da0044c	manual	43	84d5239	da0044c	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_manual_warmup10_da0044c_seed43.tsv	ok	Manual best validation-BPB configuration: 4-layer baseline with 10 percent LR warmup.
repeated_val_val_manual_warmup10_da0044c_seed44	results_repeated_controls.tsv	repeated_val	val	manual_warmup10_da0044c	manual	44	84d5239	da0044c	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_manual_warmup10_da0044c_seed44.tsv	ok	Manual best validation-BPB configuration: 4-layer baseline with 10 percent LR warmup.
repeated_val_val_manual_warmup10_da0044c_seed45	results_repeated_controls.tsv	repeated_val	val	manual_warmup10_da0044c	manual	45	84d5239	da0044c	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_manual_warmup10_da0044c_seed45.tsv	ok	Manual best validation-BPB configuration: 4-layer baseline with 10 percent LR warmup.
repeated_val_val_manual_warmup10_da0044c_seed46	results_repeated_controls.tsv	repeated_val	val	manual_warmup10_da0044c	manual	46	84d5239	da0044c	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_manual_warmup10_da0044c_seed46.tsv	ok	Manual best validation-BPB configuration: 4-layer baseline with 10 percent LR warmup.
repeated_val_val_random_primary_best_7147e14_seed42	results_repeated_controls.tsv	repeated_val	val	random_primary_best_7147e14	random	42	84d5239	7147e14	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_primary_best_7147e14_seed42.tsv	ok	Random phase2 primary-metric best validation-BPB configuration.
repeated_val_val_random_primary_best_7147e14_seed43	results_repeated_controls.tsv	repeated_val	val	random_primary_best_7147e14	random	43	84d5239	7147e14	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_primary_best_7147e14_seed43.tsv	ok	Random phase2 primary-metric best validation-BPB configuration.
repeated_val_val_random_primary_best_7147e14_seed44	results_repeated_controls.tsv	repeated_val	val	random_primary_best_7147e14	random	44	84d5239	7147e14	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_primary_best_7147e14_seed44.tsv	ok	Random phase2 primary-metric best validation-BPB configuration.
repeated_val_val_random_primary_best_7147e14_seed45	results_repeated_controls.tsv	repeated_val	val	random_primary_best_7147e14	random	45	84d5239	7147e14	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_primary_best_7147e14_seed45.tsv	ok	Random phase2 primary-metric best validation-BPB configuration.
repeated_val_val_random_primary_best_7147e14_seed46	results_repeated_controls.tsv	repeated_val	val	random_primary_best_7147e14	random	46	84d5239	7147e14	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_primary_best_7147e14_seed46.tsv	ok	Random phase2 primary-metric best validation-BPB configuration.
repeated_val_val_random_accuracy_best_7e73835_seed42	results_repeated_controls.tsv	repeated_val	val	random_accuracy_best_7e73835	random	42	84d5239	7e73835	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_accuracy_best_7e73835_seed42.tsv	ok	Random-search validation accuracy best from the initial random sweep.
repeated_val_val_random_accuracy_best_7e73835_seed43	results_repeated_controls.tsv	repeated_val	val	random_accuracy_best_7e73835	random	43	84d5239	7e73835	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_accuracy_best_7e73835_seed43.tsv	ok	Random-search validation accuracy best from the initial random sweep.
repeated_val_val_random_accuracy_best_7e73835_seed44	results_repeated_controls.tsv	repeated_val	val	random_accuracy_best_7e73835	random	44	84d5239	7e73835	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_accuracy_best_7e73835_seed44.tsv	ok	Random-search validation accuracy best from the initial random sweep.
repeated_val_val_random_accuracy_best_7e73835_seed45	results_repeated_controls.tsv	repeated_val	val	random_accuracy_best_7e73835	random	45	84d5239	7e73835	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_accuracy_best_7e73835_seed45.tsv	ok	Random-search validation accuracy best from the initial random sweep.
repeated_val_val_random_accuracy_best_7e73835_seed46	results_repeated_controls.tsv	repeated_val	val	random_accuracy_best_7e73835	random	46	84d5239	7e73835	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_accuracy_best_7e73835_seed46.tsv	ok	Random-search validation accuracy best from the initial random sweep.
repeated_val_val_random_macro_f1_best_8a1209b_seed42	results_repeated_controls.tsv	repeated_val	val	random_macro_f1_best_8a1209b	random	42	84d5239	8a1209b	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_macro_f1_best_8a1209b_seed42.tsv	ok	Random-search validation macro-F1 best configuration from the initial random sweep.
repeated_val_val_random_macro_f1_best_8a1209b_seed43	results_repeated_controls.tsv	repeated_val	val	random_macro_f1_best_8a1209b	random	43	84d5239	8a1209b	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_macro_f1_best_8a1209b_seed43.tsv	ok	Random-search validation macro-F1 best configuration from the initial random sweep.
repeated_val_val_random_macro_f1_best_8a1209b_seed44	results_repeated_controls.tsv	repeated_val	val	random_macro_f1_best_8a1209b	random	44	84d5239	8a1209b	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_macro_f1_best_8a1209b_seed44.tsv	ok	Random-search validation macro-F1 best configuration from the initial random sweep.
repeated_val_val_random_macro_f1_best_8a1209b_seed45	results_repeated_controls.tsv	repeated_val	val	random_macro_f1_best_8a1209b	random	45	84d5239	8a1209b	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_macro_f1_best_8a1209b_seed45.tsv	ok	Random-search validation macro-F1 best configuration from the initial random sweep.
repeated_val_val_random_macro_f1_best_8a1209b_seed46	results_repeated_controls.tsv	repeated_val	val	random_macro_f1_best_8a1209b	random	46	84d5239	8a1209b	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_macro_f1_best_8a1209b_seed46.tsv	ok	Random-search validation macro-F1 best configuration from the initial random sweep.
repeated_val_val_random_brier_best_8dc23be_seed42	results_repeated_controls.tsv	repeated_val	val	random_brier_best_8dc23be	random	42	84d5239	8dc23be	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_brier_best_8dc23be_seed42.tsv	ok	Random phase2 Brier-score best configuration.
repeated_val_val_random_brier_best_8dc23be_seed43	results_repeated_controls.tsv	repeated_val	val	random_brier_best_8dc23be	random	43	84d5239	8dc23be	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_brier_best_8dc23be_seed43.tsv	ok	Random phase2 Brier-score best configuration.
repeated_val_val_random_brier_best_8dc23be_seed44	results_repeated_controls.tsv	repeated_val	val	random_brier_best_8dc23be	random	44	84d5239	8dc23be	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_brier_best_8dc23be_seed44.tsv	ok	Random phase2 Brier-score best configuration.
repeated_val_val_random_brier_best_8dc23be_seed45	results_repeated_controls.tsv	repeated_val	val	random_brier_best_8dc23be	random	45	84d5239	8dc23be	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_brier_best_8dc23be_seed45.tsv	ok	Random phase2 Brier-score best configuration.
repeated_val_val_random_brier_best_8dc23be_seed46	results_repeated_controls.tsv	repeated_val	val	random_brier_best_8dc23be	random	46	84d5239	8dc23be	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_random_brier_best_8dc23be_seed46.tsv	ok	Random phase2 Brier-score best configuration.
repeated_val_val_agent_aux_a20f5b7_seed42	results_repeated_controls.tsv	repeated_val	val	agent_aux_a20f5b7	agent	42	84d5239	a20f5b7	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_agent_aux_a20f5b7_seed42.tsv	ok	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
repeated_val_val_agent_aux_a20f5b7_seed43	results_repeated_controls.tsv	repeated_val	val	agent_aux_a20f5b7	agent	43	84d5239	a20f5b7	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_agent_aux_a20f5b7_seed43.tsv	ok	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
repeated_val_val_agent_aux_a20f5b7_seed44	results_repeated_controls.tsv	repeated_val	val	agent_aux_a20f5b7	agent	44	84d5239	a20f5b7	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_agent_aux_a20f5b7_seed44.tsv	ok	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
repeated_val_val_agent_aux_a20f5b7_seed45	results_repeated_controls.tsv	repeated_val	val	agent_aux_a20f5b7	agent	45	84d5239	a20f5b7	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_agent_aux_a20f5b7_seed45.tsv	ok	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
repeated_val_val_agent_aux_a20f5b7_seed46	results_repeated_controls.tsv	repeated_val	val	agent_aux_a20f5b7	agent	46	84d5239	a20f5b7	repeated_validation_audit	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_repeated_val_val_agent_aux_a20f5b7_seed46.tsv	ok	Agent #002 delayed weak class-balanced answer-label auxiliary objective on the random phase2 primary-best backbone.
prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed42	results_repeated_controls.tsv	prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	42	325e90f	random_primary_backbone_7147e14	prospective_validation_demo	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed42.tsv	ok	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).
prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed43	results_repeated_controls.tsv	prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	43	325e90f	random_primary_backbone_7147e14	prospective_validation_demo	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed43.tsv	ok	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).
prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed44	results_repeated_controls.tsv	prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	44	325e90f	random_primary_backbone_7147e14	prospective_validation_demo	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed44.tsv	ok	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).
prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed45	results_repeated_controls.tsv	prospective_aux_weight_20260506	val	prospective_aux_weight_0p02_20260506	prospective	45	325e90f	random_primary_backbone_7147e14	prospective_validation_demo	false	results_repeated_controls.tsv	outputs/predictions/pubmedqa_prospective_aux_weight_20260506_val_prospective_aux_weight_0p02_20260506_seed45.tsv	ok	Prospective hypothesis-first validation-only run: random primary backbone with weaker delayed class-balanced auxiliary objective (QA_AUX_WEIGHT=0.02).
