task	split	comparison	metric	diff_left_minus_right	ci_low	ci_high	p_two_sided_sign	n_examples	n_bootstrap
pubmedqa	val	Agent auxiliary - Random accuracy best	f1_maybe	0.0166666666666666	0.0	0.0516129032258064	0.7268	150	10000
pubmedqa	val	Agent auxiliary - Manual baseline	accuracy	-0.0093333333333334	-0.0546666666666665	0.036	0.6992	150	10000
pubmedqa	val	Agent auxiliary - Manual baseline	macro_f1	0.0185992378514426	-0.0190357778984079	0.0559693195527983	0.3306	150	10000
pubmedqa	val	Agent auxiliary - Manual baseline	brier	0.0175839181371991	-0.0268915409410919	0.0620541877036128	0.4454	150	10000
pubmedqa	val	Agent auxiliary - Manual baseline	f1_yes	-0.0289224942236319	-0.0702031963230581	0.0135845150837332	0.178	150	10000
pubmedqa	val	Agent auxiliary - Manual baseline	f1_no	0.0880535411112934	0.0112586446641082	0.1608692709548383	0.0232	150	10000
pubmedqa	val	Agent auxiliary - Manual baseline	f1_maybe	-0.0033333333333333	-0.0516188769414575	0.0444444444444444	0.9922	150	10000
pubmedqa	val	Agent auxiliary - Manual warmup	accuracy	-0.0173333333333333	-0.064	0.0293333333333333	0.4856	150	10000
pubmedqa	val	Agent auxiliary - Manual warmup	macro_f1	0.0192282340139062	-0.0176351033692253	0.0551544869892546	0.3168	150	10000
pubmedqa	val	Agent auxiliary - Manual warmup	brier	0.0122483934354177	-0.0324359454780441	0.0574995422307073	0.598	150	10000
pubmedqa	val	Agent auxiliary - Manual warmup	f1_yes	-0.0406742248591355	-0.0832763162694238	0.001404753119642	0.0622	150	10000
pubmedqa	val	Agent auxiliary - Manual warmup	f1_no	0.0816922602341879	0.0031297618999688	0.1590526481493709	0.0442	150	10000
pubmedqa	val	Agent auxiliary - Manual warmup	f1_maybe	0.0166666666666666	0.0	0.0516129032258064	0.7352	150	10000
pubmedqa	val	Agent auxiliary - TF-IDF LR	accuracy	-0.0106666666666667	-0.0853333333333333	0.064	0.7816	150	10000
pubmedqa	val	Agent auxiliary - TF-IDF LR	macro_f1	-0.0480870524140375	-0.1376455467018755	0.0293145683750317	0.2792	150	10000
pubmedqa	val	Agent auxiliary - TF-IDF LR	brier	-0.0121747921154027	-0.0717966266829705	0.0492359323066323	0.7158	150	10000
pubmedqa	val	Agent auxiliary - TF-IDF LR	f1_yes	0.0039959562530709	-0.068436053359394	0.0777060657943743	0.9266	150	10000
pubmedqa	val	Agent auxiliary - TF-IDF LR	f1_no	-0.0596606222671131	-0.169918084350293	0.0520853442353047	0.282	150	10000
pubmedqa	val	Agent auxiliary - TF-IDF LR	f1_maybe	-0.0885964912280701	-0.3	0.0428571428571428	0.7402	150	10000
pubmedqa	val	Agent auxiliary - Frozen BiomedBERT	accuracy	-0.0306666666666666	-0.1119999999999999	0.0506666666666666	0.473	150	10000
pubmedqa	val	Agent auxiliary - Frozen BiomedBERT	macro_f1	-0.1074687834675953	-0.1936885321978708	-0.0239915054141876	0.0088	150	10000
pubmedqa	val	Agent auxiliary - Frozen BiomedBERT	brier	-0.1568129670494928	-0.28210894924853	-0.0317811161494457	0.012	150	10000
pubmedqa	val	Agent auxiliary - Frozen BiomedBERT	f1_yes	0.0183580647328264	-0.0656130862062999	0.1060905906119074	0.676	150	10000
pubmedqa	val	Agent auxiliary - Frozen BiomedBERT	f1_no	-0.1809604935669845	-0.2844393537750823	-0.0752866172152123	0.0012	150	10000
pubmedqa	val	Agent auxiliary - Frozen BiomedBERT	f1_maybe	-0.1598039215686274	-0.3446921182266009	0.0174110671936756	0.103	150	10000
pubmedqa	val	Agent auxiliary - Majority	accuracy	-0.0573333333333333	-0.1186666666666667	0.0053333333333333	0.0762	150	10000
pubmedqa	val	Agent auxiliary - Majority	macro_f1	0.0915782563393537	0.0543541153884552	0.1267293384267368	0.0	150	10000
pubmedqa	val	Agent auxiliary - Majority	brier	-0.2401663007496858	-0.3709365765121587	-0.112736990451509	0.0	150	10000
pubmedqa	val	Agent auxiliary - Majority	f1_yes	-0.0966856897959066	-0.1406094332785767	-0.0539842691711321	0.0	150	10000
pubmedqa	val	Agent auxiliary - Majority	f1_no	0.3547537921473013	0.277068533833629	0.4249579747684224	0.0	150	10000
pubmedqa	val	Agent auxiliary - Majority	f1_maybe	0.0166666666666666	0.0	0.05	0.726	150	10000
pubmedqa	val	Random primary - Majority	accuracy	0.0013333333333332	-0.0106666666666666	0.0133333333333333	0.9334	150	10000
pubmedqa	val	Random primary - Majority	macro_f1	0.0197751565733303	0.0046314890180863	0.0357870676852178	0.009	150	10000
pubmedqa	val	Random primary - Majority	brier	-0.3282357792737507	-0.4437796027089715	-0.2138317626424752	0.0	150	10000
pubmedqa	val	Random primary - Majority	f1_yes	-0.0028828744555662	-0.010605910132546	0.0044756994992042	0.4416	150	10000
pubmedqa	val	Random primary - Majority	f1_no	0.0622083441755572	0.0214018296599109	0.104786245780829	0.003	150	10000
pubmedqa	val	Random primary - Majority	f1_maybe	0.0	0.0	0.0	1.0	150	10000
pubmedqa	val	Random macro-F1 best - Majority	accuracy	-0.0279999999999999	-0.0733333333333333	0.0173333333333333	0.223	150	10000
pubmedqa	val	Random macro-F1 best - Majority	macro_f1	0.0737238725384481	0.0403152494522589	0.1061367724721163	0.0	150	10000
pubmedqa	val	Random macro-F1 best - Majority	brier	-0.2706037307812708	-0.3833355901014544	-0.1618354305313926	0.0	150	10000
pubmedqa	val	Random macro-F1 best - Majority	f1_yes	-0.0437021893835949	-0.0754828497467844	-0.0134598720866581	0.0028	150	10000
pubmedqa	val	Random macro-F1 best - Majority	f1_no	0.2648738069989396	0.1826358810782566	0.3429920925479749	0.0	150	10000
pubmedqa	val	Random macro-F1 best - Majority	f1_maybe	0.0	0.0	0.0	1.0	150	10000
pubmedqa	val	Random Brier best - Majority	accuracy	0.0013333333333332	-0.0213333333333333	0.0239999999999999	0.9392	150	10000
pubmedqa	val	Random Brier best - Majority	macro_f1	0.0478460911926082	0.0250074616493795	0.0699582150259976	0.0	150	10000
pubmedqa	val	Random Brier best - Majority	brier	-0.3248830405607146	-0.4438599549405631	-0.2054287721247685	0.0	150	10000
pubmedqa	val	Random Brier best - Majority	f1_yes	-0.0082604133019384	-0.0233152580829581	0.0061129442482309	0.2694	150	10000
pubmedqa	val	Random Brier best - Majority	f1_no	0.1517986868797631	0.0910554596239629	0.2079293699824046	0.0	150	10000
pubmedqa	val	Random Brier best - Majority	f1_maybe	0.0	0.0	0.0	1.0	150	10000
pubmedqa	val	Random accuracy best - Majority	accuracy	-0.0066666666666667	-0.0173333333333334	0.004	0.2692	150	10000
pubmedqa	val	Random accuracy best - Majority	macro_f1	0.0107342877297525	0.0004818647098371	0.0220578554699791	0.0384	150	10000
pubmedqa	val	Random accuracy best - Majority	brier	-0.3211010827467954	-0.4375549212366125	-0.204030171135223	0.0	150	10000
pubmedqa	val	Random accuracy best - Majority	f1_yes	-0.0081361198615896	-0.0163376417768801	-0.0005313514408701	0.035	150	10000
pubmedqa	val	Random accuracy best - Majority	f1_no	0.0403389830508474	0.0135593220338983	0.0703533026113671	0.0034	150	10000
pubmedqa	val	Random accuracy best - Majority	f1_maybe	0.0	0.0	0.0	1.0	150	10000
pubmedqa	val	Manual baseline - Majority	accuracy	-0.0479999999999999	-0.0946666666666666	-0.0026666666666666	0.0406	150	10000
pubmedqa	val	Manual baseline - Majority	macro_f1	0.072979018487911	0.0398831844319231	0.1037089550258658	0.0	150	10000
pubmedqa	val	Manual baseline - Majority	brier	-0.257750218886885	-0.3735597965124792	-0.1434174079089342	0.0	150	10000
pubmedqa	val	Manual baseline - Majority	f1_yes	-0.0677631955722747	-0.0994856493161201	-0.0375931755761403	0.0	150	10000
pubmedqa	val	Manual baseline - Majority	f1_no	0.2667002510360078	0.1962125135291909	0.3317307736950142	0.0	150	10000
pubmedqa	val	Manual baseline - Majority	f1_maybe	0.02	0.0	0.06	0.7376	150	10000
pubmedqa	val	Manual warmup - Majority	accuracy	-0.04	-0.084	0.0053333333333333	0.0868	150	10000
pubmedqa	val	Manual warmup - Majority	macro_f1	0.0723500223254474	0.0451343123867846	0.0986646284580812	0.0	150	10000
pubmedqa	val	Manual warmup - Majority	brier	-0.2524146941851035	-0.3687961469885917	-0.1400726794723205	0.0	150	10000
pubmedqa	val	Manual warmup - Majority	f1_yes	-0.0560114649367711	-0.0874931799933988	-0.0252799764817974	0.0	150	10000
pubmedqa	val	Manual warmup - Majority	f1_no	0.2730615319131134	0.2117622162760554	0.3291836034973041	0.0	150	10000
pubmedqa	val	Manual warmup - Majority	f1_maybe	0.0	0.0	0.0	1.0	150	10000
pubmedqa	val	Frozen BiomedBERT - Agent auxiliary	accuracy	0.0306666666666666	-0.0519999999999999	0.1119999999999999	0.4628	150	10000
pubmedqa	val	Frozen BiomedBERT - Agent auxiliary	macro_f1	0.1074687834675953	0.023650035483265	0.1937440991802539	0.0108	150	10000
pubmedqa	val	Frozen BiomedBERT - Agent auxiliary	brier	0.1568129670494928	0.0315193099521198	0.2838425188321987	0.0168	150	10000
pubmedqa	val	Frozen BiomedBERT - Agent auxiliary	f1_yes	-0.0183580647328264	-0.1049584487184433	0.0656767398819367	0.6798	150	10000
pubmedqa	val	Frozen BiomedBERT - Agent auxiliary	f1_no	0.1809604935669845	0.0738797744538575	0.2847376016488191	0.0014	150	10000
pubmedqa	val	Frozen BiomedBERT - Agent auxiliary	f1_maybe	0.1598039215686274	-0.0166666666666666	0.3448275862068966	0.097	150	10000
pubmedqa	val	Frozen BiomedBERT - Random primary	accuracy	-0.028	-0.1333333333333334	0.0773333333333333	0.621	150	10000
pubmedqa	val	Frozen BiomedBERT - Random primary	macro_f1	0.1792718832336187	0.0916844680802008	0.2673866580610878	0.0	150	10000
pubmedqa	val	Frozen BiomedBERT - Random primary	brier	0.2448824455735577	0.1125832920634832	0.3834395148610648	0.0002	150	10000
pubmedqa	val	Frozen BiomedBERT - Random primary	f1_yes	-0.1121608800731668	-0.206744730560641	-0.0223855986432682	0.0128	150	10000
pubmedqa	val	Frozen BiomedBERT - Random primary	f1_no	0.4735059415387285	0.3541273242265579	0.5817027774244887	0.0	150	10000
pubmedqa	val	Frozen BiomedBERT - Random primary	f1_maybe	0.1764705882352941	0.0	0.35	0.0976	150	10000
pubmedqa	val	Frozen BiomedBERT - Majority	accuracy	-0.0266666666666667	-0.1399999999999999	0.08	0.67	150	10000
pubmedqa	val	Frozen BiomedBERT - Majority	macro_f1	0.199047039806949	0.1099793908020134	0.2874440886027546	0.0	150	10000
pubmedqa	val	Frozen BiomedBERT - Majority	brier	-0.0833533337001929	-0.2805089692027547	0.1205195975532671	0.4166	150	10000
pubmedqa	val	Frozen BiomedBERT - Majority	f1_yes	-0.115043754528733	-0.2137484730026092	-0.0239156808808955	0.0132	150	10000
pubmedqa	val	Frozen BiomedBERT - Majority	f1_no	0.5357142857142858	0.4137931034482758	0.6415164742326104	0.0	150	10000
pubmedqa	val	Frozen BiomedBERT - Majority	f1_maybe	0.1764705882352941	0.0	0.358974358974359	0.094	150	10000
pubmedqa	val	TF-IDF LR - Majority	accuracy	-0.0466666666666666	-0.14	0.0533333333333332	0.3702	150	10000
pubmedqa	val	TF-IDF LR - Majority	macro_f1	0.1396653087533912	0.0576780920131303	0.2307853244666661	0.0004	150	10000
pubmedqa	val	TF-IDF LR - Majority	brier	-0.227991508634283	-0.3877977756071681	-0.0806379422546225	0.0044	150	10000
pubmedqa	val	TF-IDF LR - Majority	f1_yes	-0.1006816460489775	-0.1822398983600424	-0.0225045425284309	0.0118	150	10000
pubmedqa	val	TF-IDF LR - Majority	f1_no	0.4144144144144144	0.2935556052808234	0.5238095238095237	0.0	150	10000
pubmedqa	val	TF-IDF LR - Majority	f1_maybe	0.1052631578947368	0.0	0.3157894736842105	0.7316	150	10000
pubmedqa	val	TF-IDF LR - Agent auxiliary	accuracy	0.0106666666666667	-0.064	0.084	0.778	150	10000
pubmedqa	val	TF-IDF LR - Agent auxiliary	macro_f1	0.0480870524140375	-0.0300843436791558	0.1393238005716678	0.2776	150	10000
pubmedqa	val	TF-IDF LR - Agent auxiliary	brier	0.0121747921154027	-0.0503454519894445	0.0738796343858684	0.6904	150	10000
pubmedqa	val	TF-IDF LR - Agent auxiliary	f1_yes	-0.0039959562530709	-0.0795450216231514	0.0665841510007203	0.9004	150	10000
pubmedqa	val	TF-IDF LR - Agent auxiliary	f1_no	0.0596606222671131	-0.0504067106174853	0.1668604892365061	0.2744	150	10000
pubmedqa	val	TF-IDF LR - Agent auxiliary	f1_maybe	0.0885964912280701	-0.0421052631578947	0.3026360708534618	0.734	150	10000
pubmedqa	test	Frozen BiomedBERT - Majority	accuracy	-0.0866666666666666	-0.1866666666666667	0.0133333333333334	0.1132	150	10000
pubmedqa	test	Frozen BiomedBERT - Majority	macro_f1	0.157764788112225	0.0748726695773902	0.2375460516819189	0.0	150	10000
pubmedqa	test	Frozen BiomedBERT - Majority	brier	-0.0103332935143719	-0.1879347645268167	0.1696440345906639	0.9106	150	10000
pubmedqa	test	Frozen BiomedBERT - Majority	f1_yes	-0.1534401407512063	-0.2447379449079141	-0.0667185462688251	0.0002	150	10000
pubmedqa	test	Frozen BiomedBERT - Majority	f1_no	0.4565217391304348	0.3209629629629629	0.5765852390852391	0.0	150	10000
pubmedqa	test	Frozen BiomedBERT - Majority	f1_maybe	0.1702127659574468	0.0416666666666666	0.3137254901960785	0.0328	150	10000
pubmedqa	test	TF-IDF LR - Majority	accuracy	-0.0133333333333333	-0.1133333333333332	0.0866666666666665	0.8326	150	10000
pubmedqa	test	TF-IDF LR - Majority	macro_f1	0.1376977963310086	0.077119251678171	0.1953162210491845	0.0	150	10000
pubmedqa	test	TF-IDF LR - Majority	brier	-0.2281034281530329	-0.3880091295954187	-0.0682022984871573	0.0038	150	10000
pubmedqa	test	TF-IDF LR - Majority	f1_yes	-0.0733930974934606	-0.1555638268069425	0.0046975051975049	0.0658	150	10000
pubmedqa	test	TF-IDF LR - Majority	f1_no	0.4864864864864864	0.3651778656126482	0.5961538461538461	0.0	150	10000
pubmedqa	test	TF-IDF LR - Majority	f1_maybe	0.0	0.0	0.0	1.0	150	10000
scifact	dev	TF-IDF LR - Majority	accuracy	0.0501474926253687	-0.0324483775811209	0.1327433628318584	0.2422	339	10000
scifact	dev	TF-IDF LR - Majority	macro_f1	0.2335319116997471	0.1787407174182932	0.2876508692803559	0.0	339	10000
scifact	dev	TF-IDF LR - Majority	brier	-0.5383333682542903	-0.6531554016753514	-0.4219238825688397	0.0	339	10000
scifact	dev	TF-IDF LR - Majority	f1_support	-0.2142752669299401	-0.2937978756974821	-0.1371640432522188	0.0	339	10000
scifact	dev	TF-IDF LR - Majority	f1_contradict	0.2278481012658228	0.141025641025641	0.3157894736842105	0.0	339	10000
scifact	dev	TF-IDF LR - Majority	f1_not_enough_info	0.6870229007633587	0.6190476190476191	0.7490047531880202	0.0	339	10000
scifact	dev	Frozen BiomedBERT - TF-IDF LR	accuracy	0.0294985250737462	-0.023598820058997	0.0825958702064896	0.3026	339	10000
scifact	dev	Frozen BiomedBERT - TF-IDF LR	macro_f1	0.0116989365748625	-0.0413514614634064	0.0650166680831946	0.6654	339	10000
scifact	dev	Frozen BiomedBERT - TF-IDF LR	brier	0.204441458516057	0.1303998200209127	0.2789521704423138	0.0	339	10000
scifact	dev	Frozen BiomedBERT - TF-IDF LR	f1_support	0.0684947356242045	-0.003528072727799	0.1423239743164832	0.0662	339	10000
scifact	dev	Frozen BiomedBERT - TF-IDF LR	f1_contradict	-0.0791994526171741	-0.1803559284783377	0.0185488106016088	0.1228	339	10000
scifact	dev	Frozen BiomedBERT - TF-IDF LR	f1_not_enough_info	0.0458015267175573	-0.0176733855447102	0.108972469438633	0.1528	339	10000
scifact	dev	Frozen BiomedBERT - Majority	accuracy	0.079646017699115	0.0029498525073746	0.1563421828908554	0.0482	339	10000
scifact	dev	Frozen BiomedBERT - Majority	macro_f1	0.2452308482746097	0.1963841496871877	0.2938821294290944	0.0	339	10000
scifact	dev	Frozen BiomedBERT - Majority	brier	-0.3338919097382333	-0.4770118369534027	-0.1875236301242981	0.0	339	10000
scifact	dev	Frozen BiomedBERT - Majority	f1_support	-0.1457805313057356	-0.2211996904454442	-0.0714238383150311	0.0002	339	10000
scifact	dev	Frozen BiomedBERT - Majority	f1_contradict	0.1486486486486486	0.0735294117647058	0.226950354609929	0.0	339	10000
scifact	dev	Frozen BiomedBERT - Majority	f1_not_enough_info	0.732824427480916	0.6694915254237288	0.7902126099706746	0.0	339	10000
