task	split	left	left_display	right	right_display	metric	diff_left_minus_right	ci_low	ci_high	bootstrap_sd	p_two_sided_sign	n_examples	n_bootstrap
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_accuracy_best_7e73835	Random accuracy best	accuracy	-0.05066666666666664	-0.11199999999999988	0.00933333333333336	0.030722621687347747	0.1034	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_accuracy_best_7e73835	Random accuracy best	macro_f1	0.08084396860960114	0.04385797978977008	0.11475692300358599	0.018033950529275453	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_accuracy_best_7e73835	Random accuracy best	brier	0.08093478199710957	0.043456441593296556	0.11884699752501254	0.019460456172210358	0.0002	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_accuracy_best_7e73835	Random accuracy best	precision_yes	0.014402453838716966	-0.01851486144574478	0.04917538359318504	0.017092283720709	0.379	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_accuracy_best_7e73835	Random accuracy best	recall_yes	-0.28915662650602414	-0.34750000000000003	-0.2302301688435806	0.030404785906720494	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_accuracy_best_7e73835	Random accuracy best	f1_yes	-0.08854956993431695	-0.1321907531325262	-0.044607651660281855	0.022522122160417615	0.0002	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_accuracy_best_7e73835	Random accuracy best	precision_no	0.2501129344659824	0.12816982376283845	0.3717653055070524	0.06202142553298402	0.0002	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_accuracy_best_7e73835	Random accuracy best	recall_no	0.3176470588235294	0.24864210985178728	0.3869565217391304	0.03512113756015689	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_accuracy_best_7e73835	Random accuracy best	f1_no	0.31441480909645386	0.23993200548907112	0.3799703643256891	0.03597013037169544	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_accuracy_best_7e73835	Random accuracy best	precision_maybe	0.025	0.0	0.08571428571428572	0.02532158577289089	0.7268	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_accuracy_best_7e73835	Random accuracy best	recall_maybe	0.0125	0.0	0.042105263157894736	0.01254621895166605	0.7268	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	random_accuracy_best_7e73835	Random accuracy best	f1_maybe	0.016666666666666666	0.0	0.05161290322580646	0.015548925791989755	0.7268	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_baseline_f1664dd	Manual baseline	accuracy	-0.009333333333333416	-0.054666666666666586	0.03600000000000009	0.023337675282062247	0.6992	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_baseline_f1664dd	Manual baseline	macro_f1	0.018599237851442685	-0.019035777898407987	0.0559693195527983	0.01925158060241362	0.3306	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_baseline_f1664dd	Manual baseline	brier	0.017583918137199173	-0.02689154094109198	0.06205418770361286	0.022895679963995455	0.4454	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_baseline_f1664dd	Manual baseline	precision_yes	0.015246673694597535	-0.01886602510228845	0.05135704809500944	0.01795118752923649	0.3992	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_baseline_f1664dd	Manual baseline	recall_yes	-0.09397590361445785	-0.15476190476190477	-0.03170731707317075	0.031331771648098146	0.0036	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_baseline_f1664dd	Manual baseline	f1_yes	-0.02892249422363191	-0.0702031963230581	0.013584515083733296	0.021371323398769317	0.178	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_baseline_f1664dd	Manual baseline	precision_no	0.035833286039746226	-0.055098682383390156	0.12499576228320192	0.045696956001368895	0.4274	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_baseline_f1664dd	Manual baseline	recall_no	0.1254901960784314	0.046808510638297884	0.20351033834586466	0.03980674352069888	0.0024	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_baseline_f1664dd	Manual baseline	f1_no	0.08805354111129343	0.011258644664108279	0.1608692709548383	0.03834187845178767	0.0232	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_baseline_f1664dd	Manual baseline	precision_maybe	-0.025	-0.15	0.06666666666666667	0.05420827863415638	0.8756	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_baseline_f1664dd	Manual baseline	recall_maybe	0.0	-0.03529411764705882	0.03636363636363636	0.018176190832768505	1.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_baseline_f1664dd	Manual baseline	f1_maybe	-0.003333333333333334	-0.05161887694145758	0.04444444444444444	0.02441256766340739	0.9922	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_warmup10_da0044c	Manual warmup	accuracy	-0.01733333333333331	-0.064	0.029333333333333322	0.023858826294762714	0.4856	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_warmup10_da0044c	Manual warmup	macro_f1	0.019228234013906276	-0.017635103369225354	0.05515448698925466	0.018842511288899327	0.3168	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_warmup10_da0044c	Manual warmup	brier	0.012248393435417726	-0.03243594547804417	0.05749954223070734	0.02300213067058941	0.598	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_warmup10_da0044c	Manual warmup	precision_yes	-0.0005870069940041578	-0.037801555444521066	0.036817266466752555	0.01894329155029976	0.9716	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_warmup10_da0044c	Manual warmup	recall_yes	-0.09879518072289162	-0.15949442435201935	-0.03750000000000008	0.031300967307291865	0.0006	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_warmup10_da0044c	Manual warmup	f1_yes	-0.04067422485913552	-0.0832763162694238	0.001404753119642064	0.021723394952835335	0.0622	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_warmup10_da0044c	Manual warmup	precision_no	0.054669816929841575	-0.031182667796171157	0.14324314831394008	0.04454952471819703	0.214	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_warmup10_da0044c	Manual warmup	recall_no	0.10588235294117643	0.020330508474576292	0.19047619047619047	0.04340751937084634	0.0198	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_warmup10_da0044c	Manual warmup	f1_no	0.08169226023418791	0.0031297618999688213	0.15905264814937092	0.040075516612540614	0.0442	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_warmup10_da0044c	Manual warmup	precision_maybe	0.025	0.0	0.08339285714285628	0.025218478265659244	0.7352	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_warmup10_da0044c	Manual warmup	recall_maybe	0.0125	0.0	0.042105263157894736	0.012535699866431941	0.7352	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	manual_warmup10_da0044c	Manual warmup	f1_maybe	0.016666666666666666	0.0	0.05161290322580645	0.015445038351356983	0.7352	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	tfidf_lr_selected	TF-IDF LR	accuracy	-0.010666666666666713	-0.08533333333333337	0.064	0.03809431553276438	0.7816	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	tfidf_lr_selected	TF-IDF LR	macro_f1	-0.048087052414037545	-0.13764554670187554	0.029314568375031713	0.04356071676345685	0.2792	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	tfidf_lr_selected	TF-IDF LR	brier	-0.012174792115402733	-0.07179662668297059	0.04923593230663239	0.030998228164482125	0.7158	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	tfidf_lr_selected	TF-IDF LR	precision_yes	-0.03140079535735951	-0.0978513820970461	0.032883059615900885	0.03372387549721278	0.345	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	tfidf_lr_selected	TF-IDF LR	recall_yes	0.05783132530120483	-0.04235294117647059	0.15750367647058816	0.05106966330737646	0.2754	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	tfidf_lr_selected	TF-IDF LR	f1_yes	0.00399595625307092	-0.06843605335939403	0.07770606579437439	0.03731720244767424	0.9266	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	tfidf_lr_selected	TF-IDF LR	precision_no	0.008446267799315677	-0.09701251146420709	0.11319546019623505	0.05385467654752501	0.8798	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	tfidf_lr_selected	TF-IDF LR	recall_no	-0.10980392156862745	-0.24888888888888888	0.025925925925925963	0.07018035345474433	0.1186	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	tfidf_lr_selected	TF-IDF LR	f1_no	-0.05966062226711316	-0.169918084350293	0.05208534423530476	0.05605038818114354	0.282	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	tfidf_lr_selected	TF-IDF LR	precision_maybe	-0.3083333333333333	-1.0	0.06666666666666667	0.30913492593084047	0.7402	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	tfidf_lr_selected	TF-IDF LR	recall_maybe	-0.05	-0.2	0.03529411764705882	0.0647017326513845	0.7436	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	tfidf_lr_selected	TF-IDF LR	f1_maybe	-0.08859649122807017	-0.3	0.04285714285714286	0.09793347478535759	0.7402	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	frozen_biomedbert	Frozen BiomedBERT	accuracy	-0.03066666666666662	-0.11199999999999999	0.05066666666666669	0.041499746242603545	0.473	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	frozen_biomedbert	Frozen BiomedBERT	macro_f1	-0.10746878346759531	-0.19368853219787083	-0.023991505414187677	0.04366077847134175	0.0088	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	frozen_biomedbert	Frozen BiomedBERT	brier	-0.15681296704949288	-0.28210894924853	-0.031781116149445725	0.06369096322456005	0.012	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	frozen_biomedbert	Frozen BiomedBERT	precision_yes	-0.0815869698757341	-0.1685063611170004	0.0027607172565972627	0.04350608543581721	0.0592	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	frozen_biomedbert	Frozen BiomedBERT	recall_yes	0.13012048192771086	0.026312656641603985	0.23529784065524945	0.05314082069326142	0.0142	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	frozen_biomedbert	Frozen BiomedBERT	f1_yes	0.018358064732826418	-0.06561308620629999	0.10609059061190744	0.04348163502951215	0.676	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	frozen_biomedbert	Frozen BiomedBERT	precision_no	-0.10002367755587555	-0.2026000138549433	-0.0006755862419328684	0.05248340806037715	0.0488	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	frozen_biomedbert	Frozen BiomedBERT	recall_no	-0.24705882352941178	-0.38182828282828285	-0.11249999999999999	0.06927849214100044	0.0008	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	frozen_biomedbert	Frozen BiomedBERT	f1_no	-0.18096049356698451	-0.2844393537750823	-0.07528661721521235	0.05323141602477376	0.0012	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	frozen_biomedbert	Frozen BiomedBERT	precision_maybe	-0.14166666666666666	-0.3371555812608444	0.025	0.09367755317083487	0.1268	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	frozen_biomedbert	Frozen BiomedBERT	recall_maybe	-0.175	-0.4	0.014285714285714285	0.10388211045423748	0.1006	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	frozen_biomedbert	Frozen BiomedBERT	f1_maybe	-0.15980392156862747	-0.34469211822660095	0.017411067193675606	0.09167845494394865	0.103	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	majority_train	Majority	accuracy	-0.05733333333333335	-0.1186666666666667	0.005333333333333357	0.03194933782017404	0.0762	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	majority_train	Majority	macro_f1	0.09157825633935371	0.05435411538845522	0.12672933842673686	0.018546946166567133	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	majority_train	Majority	brier	-0.2401663007496858	-0.3709365765121587	-0.11273699045150903	0.06652223021994415	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	majority_train	Majority	precision_yes	0.012967020734594548	-0.020946191342625712	0.046675900156974044	0.017093709154122456	0.439	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	majority_train	Majority	recall_yes	-0.3156626506024096	-0.371765460030166	-0.2613628787878789	0.02825873182206732	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	majority_train	Majority	f1_yes	-0.09668568979590664	-0.14060943327857672	-0.05398426917113218	0.02207192518506122	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	majority_train	Majority	precision_no	0.39177960113264904	0.28745224488155524	0.4991524775578875	0.054748640725945985	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	majority_train	Majority	recall_no	0.3411764705882353	0.26956521739130435	0.41509433962264153	0.03744121194030771	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	majority_train	Majority	f1_no	0.3547537921473013	0.277068533833629	0.4249579747684224	0.038116752556380286	0.0	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	majority_train	Majority	precision_maybe	0.025	0.0	0.08571428571428572	0.024869589188207426	0.726	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	majority_train	Majority	recall_maybe	0.0125	0.0	0.04	0.012387480664344452	0.726	150	10000
pubmedqa	val	agent_aux_a20f5b7	Agent auxiliary	majority_train	Majority	f1_maybe	0.016666666666666666	0.0	0.05	0.01525452892271552	0.726	150	10000
pubmedqa	val	random_primary_best_7147e14	Random primary	majority_train	Majority	accuracy	0.0013333333333332975	-0.010666666666666602	0.013333333333333308	0.006040022018350079	0.9334	150	10000
pubmedqa	val	random_primary_best_7147e14	Random primary	majority_train	Majority	macro_f1	0.019775156573330316	0.004631489018086322	0.035787067685217853	0.00801718803438519	0.009	150	10000
pubmedqa	val	random_primary_best_7147e14	Random primary	majority_train	Majority	brier	-0.3282357792737507	-0.4437796027089715	-0.2138317626424752	0.05851916673870389	0.0	150	10000
pubmedqa	val	random_primary_best_7147e14	Random primary	majority_train	Majority	precision_yes	0.00266807412620218	-0.003448277415221326	0.009303636553578715	0.0032185942938921033	0.4106	150	10000
pubmedqa	val	random_primary_best_7147e14	Random primary	majority_train	Majority	recall_yes	-0.01927710843373498	-0.03261539606908866	-0.007499999999999951	0.00645067988181287	0.0	150	10000
pubmedqa	val	random_primary_best_7147e14	Random primary	majority_train	Majority	f1_yes	-0.002882874455566231	-0.010605910132546087	0.004475699499204257	0.003842111370936878	0.4416	150	10000
pubmedqa	val	random_primary_best_7147e14	Random primary	majority_train	Majority	precision_no	0.30666666666666664	0.13333333333333333	0.475	0.08496997700755624	0.003	150	10000
pubmedqa	val	random_primary_best_7147e14	Random primary	majority_train	Majority	recall_no	0.03529411764705882	0.011764705882352941	0.06296296296296296	0.013255379023390952	0.003	150	10000
pubmedqa	val	random_primary_best_7147e14	Random primary	majority_train	Majority	f1_no	0.06220834417555728	0.02140182965991097	0.10478624578082904	0.021617448059845185	0.003	150	10000
pubmedqa	val	random_primary_best_7147e14	Random primary	majority_train	Majority	precision_maybe	0.0	0.0	0.0	0.0	1.0	150	10000
pubmedqa	val	random_primary_best_7147e14	Random primary	majority_train	Majority	recall_maybe	0.0	0.0	0.0	0.0	1.0	150	10000
pubmedqa	val	random_primary_best_7147e14	Random primary	majority_train	Majority	f1_maybe	0.0	0.0	0.0	0.0	1.0	150	10000
pubmedqa	val	random_macro_f1_best_8a1209b	Random macro-F1 best	majority_train	Majority	accuracy	-0.027999999999999914	-0.07333333333333336	0.01733333333333331	0.02297019951158709	0.223	150	10000
pubmedqa	val	random_macro_f1_best_8a1209b	Random macro-F1 best	majority_train	Majority	macro_f1	0.07372387253844817	0.04031524945225898	0.10613677247211639	0.016965682868581564	0.0	150	10000
pubmedqa	val	random_macro_f1_best_8a1209b	Random macro-F1 best	majority_train	Majority	brier	-0.27060373078127087	-0.3833355901014544	-0.16183543053139265	0.05634825894498531	0.0	150	10000
pubmedqa	val	random_macro_f1_best_8a1209b	Random macro-F1 best	majority_train	Majority	precision_yes	0.009871728595916562	-0.01345821167196169	0.0335361957701285	0.011946279998605898	0.4214	150	10000
pubmedqa	val	random_macro_f1_best_8a1209b	Random macro-F1 best	majority_train	Majority	recall_yes	-0.17590361445783143	-0.22597402597402594	-0.1298962377828356	0.024343340342669176	0.0	150	10000
pubmedqa	val	random_macro_f1_best_8a1209b	Random macro-F1 best	majority_train	Majority	f1_yes	-0.043702189383594936	-0.07548284974678442	-0.013459872086658182	0.015721269402081618	0.0028	150	10000
pubmedqa	val	random_macro_f1_best_8a1209b	Random macro-F1 best	majority_train	Majority	precision_no	0.392554578038449	0.2679715169614551	0.5186531655225017	0.06417092441235744	0.0	150	10000
pubmedqa	val	random_macro_f1_best_8a1209b	Random macro-F1 best	majority_train	Majority	recall_no	0.203921568627451	0.13817965367965368	0.27555555555555555	0.03483281278805226	0.0	150	10000
pubmedqa	val	random_macro_f1_best_8a1209b	Random macro-F1 best	majority_train	Majority	f1_no	0.2648738069989396	0.1826358810782566	0.34299209254797497	0.04080282462736205	0.0	150	10000
pubmedqa	val	random_macro_f1_best_8a1209b	Random macro-F1 best	majority_train	Majority	precision_maybe	0.0	0.0	0.0	0.0	1.0	150	10000
pubmedqa	val	random_macro_f1_best_8a1209b	Random macro-F1 best	majority_train	Majority	recall_maybe	0.0	0.0	0.0	0.0	1.0	150	10000
pubmedqa	val	random_macro_f1_best_8a1209b	Random macro-F1 best	majority_train	Majority	f1_maybe	0.0	0.0	0.0	0.0	1.0	150	10000
pubmedqa	val	random_brier_best_8dc23be	Random Brier best	majority_train	Majority	accuracy	0.0013333333333332975	-0.021333333333333315	0.023999999999999966	0.011420985561578579	0.9392	150	10000
pubmedqa	val	random_brier_best_8dc23be	Random Brier best	majority_train	Majority	macro_f1	0.04784609119260827	0.02500746164937954	0.06995821502599761	0.011438604437009815	0.0	150	10000
pubmedqa	val	random_brier_best_8dc23be	Random Brier best	majority_train	Majority	brier	-0.3248830405607146	-0.44385995494056313	-0.2054287721247685	0.06020592476618431	0.0	150	10000
pubmedqa	val	random_brier_best_8dc23be	Random Brier best	majority_train	Majority	precision_yes	0.00832031959940649	-0.0028011062018789856	0.019946883208961572	0.005758392602767595	0.1404	150	10000
pubmedqa	val	random_brier_best_8dc23be	Random Brier best	majority_train	Majority	recall_yes	-0.055421686746987886	-0.08205555555555559	-0.03157894736842104	0.012986265013297528	0.0	150	10000
pubmedqa	val	random_brier_best_8dc23be	Random Brier best	majority_train	Majority	f1_yes	-0.008260413301938496	-0.023315258082958125	0.006112944248230986	0.007599033599695838	0.2694	150	10000
pubmedqa	val	random_brier_best_8dc23be	Random Brier best	majority_train	Majority	precision_no	0.5743589743589743	0.26287800434859254	0.7039482853747557	0.12082186116587063	0.0	150	10000
pubmedqa	val	random_brier_best_8dc23be	Random Brier best	majority_train	Majority	recall_no	0.09411764705882351	0.05600000000000001	0.13478260869565217	0.020155165996715203	0.0	150	10000
pubmedqa	val	random_brier_best_8dc23be	Random Brier best	majority_train	Majority	f1_no	0.15179868687976314	0.09105545962396294	0.20792936998240466	0.029810447149740123	0.0	150	10000
pubmedqa	val	random_brier_best_8dc23be	Random Brier best	majority_train	Majority	precision_maybe	0.0	0.0	0.0	0.0	1.0	150	10000
